customer_zip_code_prefix,lat,lng,city_norm,n_pedidos,valor_total,freight_total
21765,-22.890938364362235,-43.43068537741355,rio de janeiro,12,1811.08,279.33
21770,-22.892257517452293,-43.44208696544872,rio de janeiro,7,884.48,139.64
21775,-22.886952911633603,-43.446644127201374,rio de janeiro,9,1185.28,187.86
21810,-22.87922054417216,-43.45931046493799,rio de janeiro,11,1365.35,224.64
21815,-22.88548385187386,-43.45769280672658,rio de janeiro,8,1248.39,155.77
21820,-22.88188843504765,-43.46899760400734,rio de janeiro,11,1195.09,290.14
21825,-22.892248480036507,-43.47086620332721,rio de janeiro,5,818.97,132.29
21830,-22.880118655848957,-43.483604754804006,rio de janeiro,9,2079.25,184.39000000000001
21831,-22.88976260419128,-43.48390785134509,rio de janeiro,7,722.5,129.55
21832,-22.894998640111965,-43.490836960215546,rio de janeiro,9,731.6899999999999,193.47
21833,-22.8814818751053,-43.49448328547964,rio de janeiro,3,455.48,98.36
21840,-22.868363814263653,-43.46923216795061,rio de janeiro,6,679.5,174.69
21842,-22.868421364534367,-43.47985554134832,rio de janeiro,9,852.73,222.63
21843,-22.870893429404216,-43.48330150443216,rio de janeiro,6,467.67,114.46
21850,-22.859425219557973,-43.486817054989416,rio de janeiro,2,434.99,37.879999999999995
21852,-22.86305592280701,-43.4696365930169,rio de janeiro,1,105.9,17.99
21853,-22.85708276487565,-43.486439191165495,rio de janeiro,11,1099.67,234.75
21854,-22.845556518964184,-43.49501645648064,rio de janeiro,1,79.98,30.46
21860,-22.862369101863525,-43.46728646117796,rio de janeiro,5,723.9,98.72
21862,-22.864698795351657,-43.46636013974529,rio de janeiro,6,1145.79,117.63
21863,-22.850951552039938,-43.46693512747451,rio de janeiro,6,1554.46,235.32999999999998
21864,-22.853845962536496,-43.46103565025077,rio de janeiro,3,207.5,71.93
21865,-22.853042262633373,-43.47042497115219,rio de janeiro,2,25.89,30.34
21866,-22.859130493251165,-43.47880605689346,rio de janeiro,8,901.33,181.82
21870,-22.871019283986563,-43.45851442872575,rio de janeiro,7,1212.02,168.09
21875,-22.873409010490445,-43.4537411569272,rio de janeiro,2,864.8,99.44999999999999
21910,-22.79777839220466,-43.18136086251543,rio de janeiro,15,1492.97,478.2
21911,-22.7900819429952,-43.17257319356364,rio de janeiro,9,1442.42,315.54
21920,-22.79811558143935,-43.19569772270941,rio de janeiro,25,2088.07,534.94
21921,-22.8083044291334,-43.18564856697721,rio de janeiro,13,1134.38,262.78
21930,-22.819481062981133,-43.1783585853495,rio de janeiro,12,2009.18,245.03
21931,-22.809517664348768,-43.200203165434935,rio de janeiro,39,6437.62,848.98
21932,-22.80486286271774,-43.22572822631956,rio de janeiro,4,789.78,126.70999999999998
21940,-22.81388871143013,-43.20247749638257,rio de janeiro,30,3367.0,655.43
21941,-22.8338340042933,-43.24885668973881,rio de janeiro,21,6635.849999999999,515.45
22010,-22.96271293881479,-43.1708107829536,rio de janeiro,24,1880.49,495.55
22011,-22.96400610563266,-43.17658358618979,rio de janeiro,30,4796.86,658.1800000000001
22020,-22.965453849156813,-43.17847566804375,rio de janeiro,23,4963.15,533.07
22021,-22.96571567280818,-43.178905752541766,rio de janeiro,22,3326.08,550.08
22030,-22.965586191842657,-43.18405306861811,rio de janeiro,26,3540.4500000000003,674.97
22031,-22.966933621230865,-43.18792165085605,rio de janeiro,22,5414.9,517.7
22040,-22.968389299018032,-43.1849944726417,rio de janeiro,20,3262.77,445.66
22041,-22.96767360462037,-43.19002828343284,rio de janeiro,24,4041.6099999999997,625.9399999999999
22050,-22.972595655601555,-43.18771945633724,rio de janeiro,27,3718.17,672.0
22051,-22.972873846317363,-43.19052130370873,rio de janeiro,21,2999.5099999999998,537.92
22060,-22.97702862454598,-43.19034089760792,rio de janeiro,17,2549.85,319.51
22061,-22.975419252327107,-43.19263365219479,rio de janeiro,21,1757.99,343.52
22070,-22.980688017563597,-43.18955936508214,rio de janeiro,19,2174.79,506.4
22071,-22.980184787318848,-43.19459066773997,rio de janeiro,32,3343.75,703.14
22080,-22.98466377656021,-43.1925284491284,rio de janeiro,21,5249.15,671.56
22081,-22.984441149894824,-43.19341592390328,rio de janeiro,28,5147.6,843.66
22210,-22.931070810893203,-43.176115962189314,rio de janeiro,33,5048.54,808.88
22211,-22.923384297280904,-43.179530436549925,rio de janeiro,4,576.88,85.53
22220,-22.92956446372173,-43.17684636890966,rio de janeiro,27,2317.35,594.02
22221,-22.928999413639037,-43.18145032839962,rio de janeiro,43,5759.8099999999995,1217.5
22230,-22.937297973252814,-43.176889612976375,rio de janeiro,52,7611.8,1254.14
22231,-22.93615390975268,-43.18183226783302,rio de janeiro,45,5551.98,1143.95
22240,-22.935263476239665,-43.18726357297116,rio de janeiro,47,6487.12,945.74
22241,-22.93845834691675,-43.1963680762055,rio de janeiro,15,2430.8199999999997,403.03
22245,-22.941061091973182,-43.191231191173394,rio de janeiro,15,1801.77,281.29
22250,-22.942211644081578,-43.17758693818259,rio de janeiro,55,8478.28,1252.56
22251,-22.945344203574265,-43.185010548945066,rio de janeiro,35,8114.360000000001,858.26
22260,-22.949215828539355,-43.19022765455783,rio de janeiro,49,8913.13,1218.53
22261,-22.95721825808972,-43.20026060905936,rio de janeiro,22,2872.95,559.83
22270,-22.953082188232276,-43.18924536490677,rio de janeiro,45,5801.02,1038.44
22271,-22.95610379641452,-43.19395105535185,rio de janeiro,22,3039.92,542.81
22280,-22.95440868548141,-43.185650031057385,rio de janeiro,29,6348.01,611.01
22281,-22.95685190582306,-43.19364574140023,rio de janeiro,18,1496.13,392.67
22290,-22.954428429403357,-43.17707420858368,rio de janeiro,56,7414.81,1148.29
22291,-22.942311951383264,-43.166780906762526,rio de janeiro,10,1070.37,198.23000000000002
22410,-22.98392343049867,-43.207101465917965,rio de janeiro,38,7201.81,725.68
22411,-22.98194469977677,-43.20241313570824,rio de janeiro,21,1692.33,500.39
22420,-22.985312022606557,-43.20414276378719,rio de janeiro,24,3357.75,534.72
22421,-22.982140216547386,-43.20687525073036,rio de janeiro,8,1112.9,188.58
22430,-22.98210232841188,-43.22013314970181,rio de janeiro,35,9180.71,962.56
22431,-22.98284371340203,-43.22474000720175,rio de janeiro,22,2425.57,521.35
22440,-22.984439128577424,-43.22151271315892,rio de janeiro,25,3987.4900000000002,602.05
22441,-22.98416017609255,-43.22495474880264,rio de janeiro,26,3258.18,576.96
22450,-22.986493696399247,-43.23306806247369,rio de janeiro,39,5424.54,867.01
22451,-22.97841522971715,-43.23772919271784,rio de janeiro,56,9533.01,1393.1499999999999
22452,-22.952645498107493,-43.30267070542142,rio de janeiro,2,145.88,55.7
22460,-22.96483495864169,-43.22490223070295,rio de janeiro,15,3956.09,285.89
22461,-22.96134503409605,-43.21364138805082,rio de janeiro,32,4330.49,793.6
22470,-22.96550432697566,-43.21544841322038,rio de janeiro,35,4948.87,807.56
22471,-22.967625971408516,-43.203212882392485,rio de janeiro,28,3499.38,709.76
22610,-22.99599813649958,-43.261663703422506,rio de janeiro,29,3507.7200000000003,792.05
22611,-23.008068841447862,-43.29861176534447,rio de janeiro,8,977.6400000000001,154.16
22620,-23.00947497991475,-43.33453004891496,rio de janeiro,35,4874.4,855.35
22621,-23.010803499326403,-43.3098866524811,rio de janeiro,27,4191.21,627.3
22630,-23.01013125796049,-43.33867951997416,rio de janeiro,30,5478.08,706.58
22631,-23.00365666838398,-43.34075885321385,rio de janeiro,85,15257.94,2433.6
22640,-23.001267617010637,-43.3355988370672,rio de janeiro,26,4572.5,636.4
22641,-22.986105098852665,-43.31152067063231,rio de janeiro,6,650.19,204.85
22710,-22.934576022997884,-43.37578841332682,rio de janeiro,51,6493.0,1202.51
22711,-22.91373119718309,-43.39089712057767,rio de janeiro,1,39.99,21.19
22713,-22.930174584016687,-43.39608391214564,rio de janeiro,30,3629.28,731.25
22715,-22.923355641776094,-43.383046917508274,rio de janeiro,9,1131.47,192.93
22720,-22.91816741998529,-43.38651552844117,rio de janeiro,25,4559.09,582.98
22723,-22.91689708484027,-43.40278883313536,rio de janeiro,41,5884.78,1120.71
