n_facilities,weighted_avg_distance_km,max_distance_km,p95_distance_km,coverage_3km_%,coverage_5km_%,coverage_10km_%,method,K_target,runtime_s,eps_km,n_noise
30,3.8873152987869153,11.283306132908361,8.1255385402976,34.502682624845235,72.16260833677259,99.60792406108129,Agglomerative-average,30.0,0.03726696968078613,,
30,3.7446858569731853,14.65030918472569,7.630087949849389,36.22575319851424,76.80561287659926,99.82459760627322,Agglomerative-complete,30.0,0.0476229190826416,,
30,3.5028419274281637,17.26662910668635,7.118789006295261,46.90466364011556,81.53115971935617,98.03962030540652,Agglomerative-ward,30.0,0.009869098663330078,,
30,2.7732570920562467,16.84990739850758,8.771881671960907,66.1473380107305,90.38382170862566,98.76186545604622,KMeans-weighted,30.0,0.04140186309814453,,
30,4.078488846988229,183.25033106459088,23.963026283359127,67.62278167560875,78.75567478332646,90.68303755674783,P-Median,30.0,0.17065978050231934,,
75,2.639524323549154,196.2941931242393,9.28520436328035,78.74535699546017,87.84564589352043,95.05777961205118,DBSCAN,,0.03364229202270508,1.0,379.0
37,4.781513123808995,196.8477194384821,9.006232462253493,36.865456046223684,57.4081716879901,95.73875361122576,DBSCAN,,0.030507564544677734,1.5,154.0
28,6.919500546090037,184.39604188576104,13.373816466055839,23.617416425918282,35.224927775484936,72.24515063970284,DBSCAN,,0.03289651870727539,2.0,94.0
19,8.700213647589102,184.86112341319674,16.138275373355746,12.97977713578209,24.267437061494014,58.08914568716467,DBSCAN,,0.03336334228515625,2.5,49.0
15,9.997795190481632,184.86112341319674,17.18892548158238,9.347915806851011,17.91167973586463,48.18406933553446,DBSCAN,,0.03303813934326172,3.0,35.0
12,10.532663261392557,184.86112341319674,20.00400890135483,7.470078415187784,16.271151465125875,46.12051176227816,DBSCAN,,0.03215622901916504,4.0,13.0
6,14.291049492829067,184.86112341319674,29.51397799178719,4.942220387948824,8.646306231943871,30.18984729673958,DBSCAN,,0.034215688705444336,5.0,10.0
2,16.57321992887601,234.96076849328193,44.590080695355994,3.095336359884441,8.419314898885679,26.062732150226992,DBSCAN,,0.0318758487701416,7.0,7.0
