geolocation_zip_code_prefix,lat,lng,city,n_records
20270,-22.916244564738715,-43.21795033526529,rio de janeiro,515
20271,-22.915669330916135,-43.2252134823305,rio de janeiro,361
20350,-22.90749754731954,-43.268823,rio de janeiro,1
20396,-22.763630465185898,-43.108099791415434,rio de janeiro,11
20397,-22.756674790280556,-43.108264575561606,rio de janeiro,13
20510,-22.930347789330725,-43.24275226487902,rio de janeiro,430
20511,-22.9284131316606,-43.240538180114825,rio de janeiro,370
20520,-22.926258825257275,-43.231846424609145,rio de janeiro,485
20521,-22.927918848210943,-43.231972121774945,rio de janeiro,365
20530,-22.93768625306417,-43.24886943417944,rio de janeiro,374
20531,-22.958246852875913,-43.27033293203977,rio de janeiro,68
20535,-22.877802617547648,-43.273092853972436,rio de janeiro,6
20540,-22.92255591041081,-43.243901231317686,rio de janeiro,582
20541,-22.92275898098941,-43.246104027508025,rio de janeiro,574
20550,-22.916792143186886,-43.2315503991291,rio de janeiro,646
20551,-22.914390650925082,-43.24569874883489,rio de janeiro,389
20560,-22.918636000417838,-43.25724486396328,rio de janeiro,422
20561,-22.923671061854996,-43.27951061325535,rio de janeiro,289
20710,-22.90830858763459,-43.2764243094503,rio de janeiro,163
20715,-22.91224198054703,-43.268726673369905,rio de janeiro,85
20720,-22.906575946931888,-43.28819167590577,rio de janeiro,422
20723,-22.90830817346286,-43.28836091502689,rio de janeiro,16
20725,-22.906412217480728,-43.282495177007156,rio de janeiro,144
20730,-22.902290913852568,-43.29839517326879,rio de janeiro,227
20735,-22.900247004009792,-43.28620954651436,rio de janeiro,346
20740,-22.89620288125079,-43.31266061354411,rio de janeiro,184
20745,-22.903600471965063,-43.306901589519335,rio de janeiro,212
20746,-22.898321969184654,-43.30574172595051,rio de janeiro,1
20750,-22.87518071840644,-43.30082797736797,rio de janeiro,129
20751,-22.883894678436565,-43.30538425605098,rio de janeiro,110
20755,-22.888719129958833,-43.29710870135924,rio de janeiro,120
20756,-22.889303208418365,-43.304540372254614,rio de janeiro,139
20760,-22.879177245162502,-43.28592690942743,rio de janeiro,108
20761,-22.870098149013963,-43.297217917069595,rio de janeiro,50
20765,-22.87067512100277,-43.28612468627153,rio de janeiro,105
20766,-22.865673065092224,-43.289317820043124,rio de janeiro,117
20770,-22.89263110411781,-43.28601357326318,rio de janeiro,269
20771,-22.88654522617883,-43.28157899070825,rio de janeiro,412
20775,-22.894787607705087,-43.27754555337602,rio de janeiro,348
